#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
26700,-114540.90192767128,23515.30635898444,-91025.59556868684,313.8650453599444,1.018537270733841
26800,-114147.9085279064,23110.68964380352,-91037.21888410288,308.46451849778293,1.018537270733841
26900,-114266.2339731598,23188.56705995713,-91077.66691320267,309.50396907437437,1.018537270733841
27000,-114101.47852936655,23173.66838136548,-90927.81014800107,309.30511245049775,1.018537270733841
27100,-114179.37873109675,23269.20266699465,-90910.1760641021,310.58023395793975,1.018537270733841
27200,-114035.20430426882,22880.179783344967,-91155.02452092385,305.38784211074136,1.018537270733841
27300,-113999.6465071264,23015.85102892341,-90983.79547820298,307.1986822927681,1.018537270733841
27400,-114611.74388106965,23439.629353880417,-91172.11452718923,312.8549642545965,1.018537270733841
27500,-114677.21789009287,23486.491701296065,-91190.7261887968,313.4804484635941,1.018537270733841
27600,-114454.62490105664,23285.08178539155,-91169.54311566509,310.79217677254036,1.018537270733841
27700,-114298.9230022732,23262.884979411145,-91036.03802286205,310.4959101022478,1.018537270733841
27800,-114413.3502493439,23345.846467503812,-91067.50378184009,311.60321913857615,1.018537270733841
27900,-114585.96952891,23720.970699821482,-90864.99882908852,316.6101019915829,1.018537270733841
28000,-114148.02759678429,23276.50241962378,-90871.52517716051,310.6776656968711,1.018537270733841
28100,-114118.53445608704,23131.016945352312,-90987.51751073473,308.7358323954316,1.018537270733841
28200,-114633.69200572593,23639.386415305897,-90994.30559042003,315.5211748575182,1.018537270733841
28300,-114494.26616343763,23412.143697761232,-91082.1224656764,312.4881058954963,1.018537270733841
28400,-114492.74977543892,23443.611260026228,-91049.13851541269,312.90811181448765,1.018537270733841
28500,-114252.35157287202,23243.524643674493,-91008.82692919753,310.2375025543552,1.018537270733841
28600,-114324.15676780988,23359.18412204832,-90964.97264576156,311.78124035950776,1.018537270733841
28700,-114377.52231032983,23404.678212908795,-90972.84409742104,312.3884620845217,1.018537270733841
28800,-114628.24906525097,23568.217305323808,-91060.03175992717,314.57126182675637,1.018537270733841
28900,-114506.56644602306,23445.95169283473,-91060.61475318833,312.9393501933711,1.018537270733841
29000,-114621.10865221912,23582.896276057232,-91038.21237616189,314.7671859514414,1.018537270733841
29100,-114213.33057137835,23141.412683396367,-91071.91788798198,308.87458707474286,1.018537270733841
29200,-114488.45901481318,23311.595736847026,-91176.86327796616,311.1460655311729,1.018537270733841
29300,-113947.95824214141,22803.76447932655,-91144.19376281486,304.3679067335111,1.018537270733841
29400,-113958.54178793856,22913.816083965125,-91044.72570397344,305.83679475710363,1.018537270733841
29500,-114368.02390486037,23300.84280953859,-91067.18109532178,311.0025433517935,1.018537270733841
29600,-114135.02683944849,23088.48340865888,-91046.5434307896,308.16812597392874,1.018537270733841
29700,-114102.76118445303,23170.47984493384,-90932.28133951919,309.2625542070936,1.018537270733841
29800,-113894.04653168039,22806.49120815401,-91087.55532352638,304.4043011080538,1.018537270733841
29900,-114452.79350177338,23462.73202822276,-90990.06147355062,313.1633217907348,1.018537270733841
30000,-114330.34186326445,23099.26849411917,-91231.07336914528,308.31207737670985,1.018537270733841
